ds,yhat
2014-09-23,170.59157853903423
2014-09-24,118.66786802381488
2014-09-25,149.68116552042895
2014-09-26,164.11838941007983
2014-09-27,117.65204878592
2014-09-29,170.11822675323936
2014-09-30,162.47038382151015
2014-10-01,115.83550811198404
2014-10-02,152.24978698835213
2014-10-03,172.08709352593064
2014-10-04,130.90646297664765
2014-10-06,193.16189146032815
2014-10-07,189.8136618220947
2014-10-08,146.96122031533682
2014-10-09,186.56531076616324
2014-10-10,208.93854692376527
2014-10-13,233.32508623798242
2014-10-14,229.60947711188567
2014-10-15,185.67728183671397
2014-10-16,223.5279545193875
2014-10-17,243.52785147398436
2014-10-18,201.25757040236755
2014-10-20,257.80258305714074
2014-10-21,250.01058539897832
2014-10-22,201.81097788050874
2014-10-23,235.30463531779776
2014-10-28,242.0120162208605
2014-10-31,235.45546162395146
2014-11-02,228.43378119244653
2014-11-03,234.81001271144774
2014-11-04,223.67752249618212
2014-11-06,204.94034750187973
2014-11-07,219.8867518002368
2014-11-08,173.49457352445503
2014-11-10,224.682340902414
2014-11-11,215.63778511595282
2014-11-12,167.08530839639286
2014-11-13,201.0608277488453
2014-11-14,217.94813097453738
2014-11-15,173.32677714983978
2014-11-17,227.36428933054958
2014-11-18,219.33274630480304
2014-11-19,171.49282953040546
2014-11-20,205.87505400063907
2014-11-21,222.86888558818848
2014-11-22,178.07013321923512
2014-11-25,222.1419670144298
2014-11-26,173.32795025448058
2014-11-28,222.56179045862723
2014-11-29,176.70223578327855
2014-12-01,227.80378221490008
2014-12-02,218.24348338660621
2014-12-03,168.94766829129202
2014-12-04,202.02794775918295
2014-12-05,217.94837065271184
2014-12-06,172.37029671195364
2014-12-07,215.8695644689372
2014-12-08,224.84176819979976
2014-12-09,216.34570836354075
2014-12-10,168.33592424858088
2014-12-11,202.89073901526655
2014-12-14,221.8624497906823
2014-12-15,232.6184048302283
2014-12-16,225.8576676117246
2014-12-17,179.48455925859147
2014-12-18,215.53018763253783
2014-12-19,234.37600627054076
2014-12-20,191.6014676740141
2014-12-22,249.00660231050225
2014-12-23,242.50431824560098
2014-12-24,196.09827881623215
2014-12-25,231.82581126676337
2014-12-26,250.08370125908596
2014-12-29,261.608001100468
2014-12-30,253.7488843889902
2014-12-31,205.90066932718713
2015-01-01,240.14997063880537
2015-01-02,256.94314964286775
2015-01-03,211.9316253955019
2015-01-04,255.68918291774588
2015-01-05,264.6170863682219
2015-01-06,255.78706637211226
2015-01-07,207.17310576320287
2015-01-08,240.8784798330401
2015-01-09,257.35651563859983
2015-01-10,212.25542316625086
2015-01-11,256.13546424199404
2015-01-12,265.3742787929739
2015-01-13,257.0104384843225
2015-01-14,208.97614170699364
2015-01-15,243.32548478713883
2015-01-16,260.456742300979
2015-01-17,215.95896798172757
2015-01-18,260.3311322865322
2015-01-19,269.8895592546973
2015-01-20,261.61367018097127
2015-01-21,213.38088184819304
2015-01-22,247.1970261461084
2015-01-23,263.4206561222054
2015-01-24,217.61148433251705
2015-01-25,260.2511081578763
2015-01-26,267.65172939495005
2015-01-27,256.8028281562546
2015-01-28,205.6066006676704
2015-01-29,236.1085002464723
2015-01-30,248.72123054500733
